"id_name","ID_code","Kingdom","Phylum","Class","Order","Family","Genus","species"
"Aiptasia_mutabilis","AIMU","Animalia","Cnidaria","Anthozoa","Actinaria","Aiptasiidae","Aiptasia","Aiptasia_mutabilis"
"Alicia_mirabilis","ALMI","Animalia","Cnidaria","Anthozoa","Actinaria","Aliciidae","Alicia","Alicia_mirabilis"
"Cribrinopsis_crassa","CRCR","Animalia","Cnidaria","Anthozoa","Actinaria","Actiniidae","Cribrinopsis","Cribrinopsis_crassa"
"Alcyonium_acaule","ALAC","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Alcyonium","Alcyonium_acaule"
"Alcyonium_corralloides","ALCO","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Alcyonium","Alcyonium_corralloides"
"Ascidia_mentula","ASME","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia_mentula"
"Ascidia_virginea","ASVI","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia_virginea"
"Ascidiella_aspersa","ASAS","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella","Ascidiella_aspersa"
"Ciona_edwardsi","CIED","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","Ciona_edwardsi"
"Ciona_intestinalis","CIIN","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","Ciona_intestinalis"
"Clavelina_lepadoformis","CLLE","Animalia","Chordata","Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina_lepadoformis"
"Clavelina_dellavallei","CLDE","Animalia","Chordata","Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Clavelina_dellavallei"
"Cliona_sp","CLIO","Animalia","Porifera","Demospongiae","Hadromerida","Clionaidae","Cliona","Cliona_sp"
"Diazona_violacea","DIVI","Animalia","Chordata","Ascidiacea","Aplousobranchia","Diazonidae","Diazona","Diazona_violacea"
"Didemnium_sp","DIDE","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Didemnum","Didemnium_sp"
"Distaplia_rosea","DIRO","Animalia","Chordata","Ascidiacea","Aplousobranchia","Holozoidae","Distaplia","Distaplia_rosea"
"Halocynthia_papillosa","HAPA","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Halocynthia","Halocynthia_papillosa"
"Microcosmus_sabatieri","MISA","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Microcosmus_sabatieri"
"Phallusia_fumigata","PHFU","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Phallusia","Phallusia_fumigata"
"Phallusia_mamillata","PHMA","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Phallusia","Phallusia_mamillata"
"Polycitor_sp","POLC","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polycitoridae","Polycitor","Polycitor_sp"
"Polyclinum_aurantium","POAU","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Polyclinum","Polyclinum_aurantium"
"Pycnoclavella_sp","PYCL","Animalia","Chordata","Ascidiacea","Aplousobranchia","Pycnoclavellidae","Pycnoclavella","Pycnoclavella_sp"
"Rhopalaea_neapolitana","RHNE","Animalia","Chordata","Ascidiacea","Aplousobranchia","Diazonidae","Rhopalaea","Rhopalaea_neapolitana"
"Antipathes_subpinnata","ANSU","Animalia","Cnidaria","Anthozoa","Antipatharia","Myriopathidae","Antipathella","Antipathella_subpinnata"
"Cystoseira_sp","CYSP","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira_sp"
"Cystoseira_zosteroides","CYZO","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira","Cystoseira_zosteroides"
"Dictyopteris_polypodioides","DIPO","Chromista","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyopteris","Dictyopteris_polypodioides"
"Dictyota_dichotoma","DIDI","Chromista","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","Dictyota_dichotoma"
"Laminaria_rodriguezi","LARO","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","Laminaria_rodriguezi"
"Phyllariopsis_sp","PHYL","Chromista","Ochrophyta","Phaeophyceae","Tilopteridales","Phyllariaceae","Phyllariopsis","Phyllariopsis_sp"
"Spatoglossum_solieri","SPSO","Chromista","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Spatoglossum","Spatoglossum_solieri"
"Zanardinia_typus","ZATY","Chromista","Ochrophyta","Phaeophyceae","Cutleriales","Cutleriaceae","Zanardinia","Zanardinia_typus"
"Schizomavella_mamillata","SCMA","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bitectiporidae","Schizomavella","Schizomavella_mamillata"
"Lithophyllum_cabiochae","LICA","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Lithophyllum","Lithophyllum_cabiochae"
"Lithophyllum_incrustans","LIIN","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Lithophyllum","Lithophyllum_incrustans"
"Lithophyllum_stictaeforme","LIST","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Lithophyllum","Lithophyllum_stictaeforme"
"Mesophyllum_alternans","MEAL","Plantae","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Mesophyllum","Mesophyllum_alternans"
"Neogoniolithon_mamillosum","NEMA","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Neogoniolithon","Neogoniolithon_mamillosum"
"Peyssonnelia_polymorpha","PEPO","Plantae","Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Peyssonnelia_polymorpha"
"Peyssonnelia_rosa_marina","PERO","Plantae","Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Peyssonnelia_rosa_marina"
"Peyssonnelia_squamaria","PESQ","Plantae","Rhodophyta","Florideophyceae","Peyssonneliales","Peyssonneliaceae","Peyssonnelia","Peyssonnelia_squamaria"
"Phymatolithon_calcareum","PHCA","Plantae","Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Phymatolithon","Phymatolithon_calcareum"
"Corynactis_viridis","COVI","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","Corynactis","Corynactis_viridis"
"Antedon_mediterranea","ANME","Animalia","Echinodermata","Crinoidea","Comatulida","Antedonidae","Antedon","Antedon_mediterranea"
"Centrostephanus_longispinus","CEL","Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Centrostephanus","Centrostephanus_longispinus"
"Echinus_melo","ECME","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinidae","Echinus","Echinus_melo"
"Paracentrotus_lividus","PALI","Animalia","Echinodermata","Echinoidea","Camarodonta","Parechinidae","Paracentrotus","Paracentrotus_lividus"
"Sphaerechinus_granularis","SGR","Animalia","Echinodermata","Echinoidea","Camarodonta","Toxopneustidae","Sphaerechinus","Sphaerechinus_granularis"
"Adeonella_calveti","ADC","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Adeonellidae","Adeonella","Adeonella_calveti"
"Cellaria_sp","CELL","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Cellariidae","Cellaria","Cellaria_sp"
"Chartella_tenella","CHTE","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Flustridae","Chartella","Chartella_tenella"
"Crisia_sp","CRSP","Animalia","Bryozoa","Stenolaemata","Cyclostomatida","Crisiidae","Crisia","Crisia_sp"
"Dentiporella_sardonica","DESA","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Phidoloporidae","Dentiporella","Dentiporella_sardonica"
"Diporula_verrucosa","DIVE","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Microporellidae","Diporula","Diporula_verrucosa"
"Frondipora_verrucosa","FRVE","Animalia","Bryozoa","Stenolaemata","Cyclostomatida","Frondiporidae","Frondipora","Frondipora_verrucosa"
"Hornera_frondiculata","HOFR","Animalia","Bryozoa","Stenolaemata","Cyclostomatida","Horneridae","Hornera","Hornera_frondiculata"
"Idmidronea_atlantica","IDAT","Animalia","Bryozoa","Stenolaemata","Cyclostomatida","Tubuliporidae","Idmidronea","Idmidronea_atlantica"
"Myriapora_truncata","MYT","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Myriaporidae","Myriapora","Myriapora_truncata"
"Pentapora_fascialis","PEF","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bitectiporidae","Pentapora","Pentapora_fascialis"
"Reteporella_sp","RESP","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Phidoloporidae","Reteporella","Reteporella_sp"
"Schizotheca_serratimargo","SCSE","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Phidoloporidae","Schizotheca","Schizotheca_serratimargo"
"Scrupocellaria_sp","SCSP","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Candidae","Scrupocellaria","Scrupocellaria_sp"
"Smittina_cervicornis","SMCE","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Smittinidae","Smittina","Smittina_cervicornis"
"Turbicellepora_avicularis","TUAV","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Celleporidae","Turbicellepora","Turbicellepora_avicularis"
"Amphiroa_sp","AMSP","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Amphiroa","Amphiroa_sp"
"Asparagopsis_sp","ASSP","Plantae","Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Asparagopsis","Asparagopsis_sp"
"Chrysymenia_ventricosa","CHVE","Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Rhodymeniaceae","Chrysymenia","Chrysymenia_ventricosa"
"Corallina_elongata","COEL","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina_elongata"
"Fauchea_repens","FARE","Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Faucheaceae","Gloiocladia","Gloiocladia_repens"
"Halymenia_latifolia","HALA","Plantae","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Halymenia","Halymenia_latifolia"
"Jania_rubens","JARU","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Jania","Jania_rubens"
"Womersleyella_setacea","WOSE","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Womersleyella","Womersleyella_setacea"
"Miniacina_miniacea","MIMI","Chromista","Foraminifera","Polythalamea","Rotaliida","Homotrematidae","Miniacina","Miniacina_miniacea"
"Corallium_rubrum","CORU","Animalia","Cnidaria","Anthozoa","Alcyonacea","Coralliidae","Corallium","Corallium_rubrum"
"Eunicella_cavolini","EUCA","Animalia","Cnidaria","Anthozoa","Alcyonacea","Gorgoniidae","Eunicella","Eunicella_cavolini"
"Eunicella_singularis","EUSI","Animalia","Cnidaria","Anthozoa","Alcyonacea","Gorgoniidae","Eunicella","Eunicella_singularis"
"Eunicella_verrucosa","EUVE","Animalia","Cnidaria","Anthozoa","Alcyonacea","Gorgoniidae","Eunicella","Eunicella_verrucosa"
"Leptogorgia_sarmentosa","LESA","Animalia","Cnidaria","Anthozoa","Alcyonacea","Gorgoniidae","Leptogorgia","Leptogorgia_sarmentosa"
"Paramuricea_clavata","PACL","Animalia","Cnidaria","Anthozoa","Alcyonacea","Plexauridae","Paramuricea","Paramuricea_clavata"
"Paramuricea_macrospina","PAMA","Animalia","Cnidaria","Anthozoa","Alcyonacea","Plexauridae","Paramuricea","Paramuricea_macrospina"
"Acetabularia_acetabulum","ACET","Plantae","Chlorophyta","Ulvophyceae","Dasycladales","Polyphysaceae","Acetabularia","Acetabularia_acetabulum"
"Bryopsis_sp","BRSP","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Bryopsidaceae","Bryopsis","Bryopsis_sp"
"Caulerpa_racemosa","CARA","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa_racemosa"
"Caulerpa_taxifolia","CATA","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Caulerpaceae","Caulerpa","Caulerpa_taxifolia"
"Cladophora_sp","CLAD","Plantae","Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Cladophora","Cladophora_sp"
"Codium_bursa","COBU","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Codiaceae","Codium","Codium_bursa"
"Codium_effusum","COEF","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Codiaceae","Codium","Codium_effusum"
"Codium_coralloides","COCO","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Codiaceae","Codium","Codium_coralloides"
"Flabellia_petiolata","FLPE","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Udoteaceae","Flabellia","Flabellia_petiolata"
"Halimeda_tuna","HATU","Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Halimedaceae","Halimeda","Halimeda_tuna"
"Palmophyllum_crassum","PACR","Plantae","Chlorophyta","Chlorophyta_incertae_sedis","Palmophyllales","Palmophyllaceae","Palmophyllum","Palmophyllum_crassum"
"Valonia_macrophysa","VAMA","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Valoniaceae","Valonia","Valonia_macrophysa"
"Posidonia_oceanica","POOC","Plantae","Tracheophyta","Monocots","Alismatales","Posidoniaceae","Posidonia","Posidonia_oceanica"
"Acanthella_acuta","ACAC","Animalia","Porifera","Demospongiae","Halichondrida","Dictyonellidae","Acanthella","Acanthella_acuta"
"Agelas_oroides","AGOR","Animalia","Porifera","Demospongiae","Agelasida","Agelasidae","Agelas","Agelas_oroides"
"Aplidium_sp","APLI","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Aplidium","Aplidium_sp"
"Aplysina_aerophoba","APAE","Animalia","Porifera","Demospongiae","Verongida","Aplysinidae","Aplysina","Aplysina_aerophoba"
"Aplysina_cavernicola","APCA","Animalia","Porifera","Demospongiae","Verongida","Aplysinidae","Aplysina","Aplysina_cavernicola"
"Axinella_damicornis","AXDA","Animalia","Porifera","Demospongiae","Halichondrida","Axinellidae","Axinella","Axinella_damicornis"
"Axinella_polypoides","AXPO","Animalia","Porifera","Demospongiae","Halichondrida","Axinellidae","Axinella","Axinella_polypoides"
"Axinella_vaceleti","AXVA","Animalia","Porifera","Demospongiae","Halichondrida","Axinellidae","Axinella","Axinella_vaceleti"
"Axinella_verrucosa","AXVE","Animalia","Porifera","Demospongiae","Halichondrida","Axinellidae","Axinella","Axinella_verrucosa"
"Cacospongia_scalaris","CASC","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Scalarispongia","Scalarispongia_scalaris"
"Chondrilla_nucula","CHNU","Animalia","Porifera","Demospongiae","Chondrosida","Chondrillidae","Chondrilla","Chondrilla_nucula"
"Chondrosia_reniformis","CHRE","Animalia","Porifera","Demospongiae","Chondrosida","Chondrillidae","Chondrosia","Chondrosia_reniformis"
"Clathrina_clathrus","CLCL","Animalia","Porifera","Calcarea","Clathrinida","Clathrinidae","Clathrina","Clathrina_clathrus"
"Clathrina_sp","CLSP","Animalia","Porifera","Calcarea","Clathrinida","Clathrinidae","Clathrina","Clathrina_sp"
"Cliona_celata","CLCE","Animalia","Porifera","Demospongiae","Hadromerida","Clionaidae","Cliona","Cliona_celata"
"Cliona_viridis","CLVI","Animalia","Porifera","Demospongiae","Hadromerida","Clionaidae","Cliona","Cliona_viridis"
"Corticium_candelabrum","COCA","Animalia","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Corticium","Corticium_candelabrum"
"Crambe_crambe","CRAM","Animalia","Porifera","Demospongiae","Poecilosclerida","Crambeidae","Crambe","Crambe_crambe"
"Crambe_tailliezi","CRT","Animalia","Porifera","Demospongiae","Poecilosclerida","Crambeidae","Crambe","Crambe_tailliezi"
