"id_name","ID_code","Kingdom","Phylum","Class","Order","Family","Genus","species"
"species_1","sp_1","kingdom_1","phylum_1","class_1","order_1","family_1","genus_1","species_1"
"species_2","sp_2","kingdom_2","phylum_2","class_2","order_2","family_2","genus_2","species_2"
"species_3","sp_3","kingdom_1","phylum_3","class_3","order_3","family_3","genus_3","species_3"
"species_4","sp_4","kingdom_1","phylum_1","class_1","order_4","family_4","genus_4","species_4"
"species_5","sp_5","kingdom_1","phylum_4","class_4","order_5","family_5","genus_5","species_5"
"species_6","sp_6","kingdom_1","phylum_4","class_4","order_6","family_6","genus_6","species_6"
"species_7","sp_7","kingdom_1","phylum_4","class_4","order_6","family_6","genus_6","species_7"
"species_8","sp_8","kingdom_1","phylum_4","class_4","order_6","family_6","genus_6","species_8"
"species_9","sp_9","kingdom_1","phylum_4","class_4","order_5","family_7","genus_7","species_9"
"species_10","sp_10","kingdom_2","phylum_5","class_5","order_7","family_8","genus_8","species_10"
"species_11","sp_11","kingdom_1","phylum_6","class_6","order_8","family_9","genus_9","species_11"
"species_12","sp_12","kingdom_1","phylum_4","class_4","order_9","family_10","genus_10","species_12"
"species_13","sp_13","kingdom_1","phylum_1","class_1","order_10","family_11","genus_11","species_13"
"species_14","sp_14","kingdom_1","phylum_1","class_1","order_10","family_11","genus_11","species_14"
"species_15","sp_15","kingdom_1","phylum_7","class_7","order_11","family_12","genus_12","species_15"
"species_16","sp_16","kingdom_1","phylum_7","class_7","order_12","family_13","genus_13","species_16"
"species_17","sp_17","kingdom_1","phylum_4","class_4","order_13","family_14","genus_14","species_17"
"species_18","sp_18","kingdom_1","phylum_7","class_7","order_12","family_13","genus_15","species_18"
"species_19","sp_19","kingdom_2","phylum_5","class_5","order_14","family_15","genus_16","species_19"
"species_20","sp_20","kingdom_1","phylum_6","class_8","order_15","family_16","genus_17","species_20"
"species_21","sp_21","kingdom_1","phylum_7","class_7","order_12","family_13","genus_15","species_21"
"species_22","sp_22","kingdom_1","phylum_1","class_1","order_1","family_17","genus_18","species_22"
"species_23","sp_23","kingdom_1","phylum_1","class_1","order_1","family_18","genus_19","species_23"
"species_24","sp_24","kingdom_1","phylum_1","class_1","order_1","family_18","genus_19","species_24"
"species_25","sp_25","kingdom_1","phylum_1","class_1","order_1","family_18","genus_19","species_25"
"species_26","sp_26","kingdom_1","phylum_1","class_1","order_1","family_18","genus_19","species_26"
"species_27","sp_27","kingdom_1","phylum_4","class_4","order_13","family_14","genus_20","species_27"
"species_28","sp_28","kingdom_1","phylum_8","class_9","order_16","family_19","genus_21","species_28"
"species_29","sp_29","kingdom_2","phylum_2","class_10","order_17","family_20","genus_22","species_29"
"species_30","sp_30","kingdom_1","phylum_4","class_4","order_13","family_21","genus_23","species_30"
"species_31","sp_31","kingdom_2","phylum_2","class_10","order_17","family_22","genus_24","species_31"
"species_32","sp_32","kingdom_1","phylum_1","class_1","order_18","family_23","genus_25","species_32"
"species_33","sp_33","kingdom_1","phylum_4","class_4","order_13","family_21","genus_23","species_33"
"species_34","sp_34","kingdom_2","phylum_2","class_10","order_17","family_22","genus_24","species_34"
"species_35","sp_35","kingdom_1","phylum_6","class_11","order_19","family_24","genus_26","species_35"
"species_36","sp_36","kingdom_1","phylum_3","class_3","order_3","family_25","genus_27","species_36"
"species_37","sp_37","kingdom_1","phylum_1","class_1","order_20","family_26","genus_28","species_37"
"species_38","sp_38","kingdom_1","phylum_1","class_1","order_20","family_26","genus_29","species_38"
"species_39","sp_39","kingdom_1","phylum_3","class_3","order_3","family_27","genus_30","species_39"
"species_40","sp_40","kingdom_2","phylum_5","class_5","order_21","family_28","genus_31","species_40"
"species_41","sp_41","kingdom_1","phylum_7","class_7","order_12","family_29","genus_32","species_41"
"species_42","sp_42","kingdom_1","phylum_7","class_7","order_12","family_29","genus_32","species_42"
"species_43","sp_43","kingdom_2","phylum_2","class_2","order_22","family_30","genus_33","species_43"
"species_44","sp_44","kingdom_1","phylum_1","class_1","order_23","family_31","genus_34","species_44"
"species_45","sp_45","kingdom_1","phylum_1","class_12","order_24","family_32","genus_35","species_45"
"species_46","sp_46","kingdom_1","phylum_7","class_7","order_11","family_33","genus_36","species_46"
"species_47","sp_47","kingdom_1","phylum_1","class_1","order_23","family_31","genus_34","species_47"
"species_48","sp_48","kingdom_1","phylum_7","class_7","order_11","family_33","genus_36","species_48"
"species_49","sp_49","kingdom_1","phylum_4","class_4","order_13","family_21","genus_37","species_49"
"species_50","sp_50","kingdom_1","phylum_1","class_12","order_24","family_32","genus_35","species_50"
"species_51","sp_51","kingdom_1","phylum_1","class_1","order_23","family_31","genus_34","species_51"
"species_52","sp_52","kingdom_2","phylum_2","class_10","order_17","family_34","genus_38","species_52"
"species_53","sp_53","kingdom_1","phylum_1","class_13","order_25","family_35","genus_39","species_53"
"species_54","sp_54","kingdom_2","phylum_2","class_10","order_17","family_34","genus_38","species_54"
"species_55","sp_55","kingdom_2","phylum_2","class_10","order_17","family_34","genus_38","species_55"
"species_56","sp_56","kingdom_2","phylum_5","class_5","order_7","family_8","genus_40","species_56"
"species_57","sp_57","kingdom_1","phylum_4","class_4","order_6","family_36","genus_41","species_57"
"species_58","sp_58","kingdom_1","phylum_4","class_4","order_26","family_37","genus_42","species_58"
"species_59","sp_59","kingdom_1","phylum_1","class_1","order_27","family_38","genus_43","species_59"
"species_60","sp_60","kingdom_1","phylum_4","class_4","order_5","family_39","genus_44","species_60"
"species_61","sp_61","kingdom_1","phylum_1","class_1","order_27","family_40","genus_45","species_61"
"species_62","sp_62","kingdom_1","phylum_3","class_14","order_28","family_41","genus_46","species_62"
"species_63","sp_63","kingdom_1","phylum_1","class_1","order_27","family_38","genus_43","species_63"
"species_64","sp_64","kingdom_3","phylum_9","class_15","order_29","family_42","genus_47","species_64"
"species_65","sp_65","kingdom_3","phylum_9","class_15","order_29","family_42","genus_47","species_65"
"species_66","sp_66","kingdom_1","phylum_4","class_4","order_13","family_14","genus_48","species_66"
"species_67","sp_67","kingdom_1","phylum_1","class_1","order_30","family_43","genus_49","species_67"
"species_68","sp_68","kingdom_1","phylum_3","class_3","order_3","family_44","genus_50","species_68"
